NE_ID,NE_Name,NE_Type,NE_Version,Release_Version,Board_Type,IP_Address,Subnet_Mask,Gateway,Configuration_Date,Location,Vendor,Admin_Contact,Status,Priority,Operational_State,Remarks
1049,NE_D,Firewall,3,6.3.5,Type_B,192.168.1.16,255.255.255.0,192.168.1.11,24-10-2024,Grand Rapids,Cisco,team183@company.com,Pending,High,Testing,Risk assessment
1050,NE_N,Switch,2.1,1.1.9,Type_U,192.168.1.232,255.255.255.0,192.168.1.59,19-06-2024,Virginia Beach,VMware,team293@company.com,Pending,Medium,Testing,Performance monitoring setup
1051,NE_H,Hub,4.5,8.0.1,Type_I,192.168.1.205,255.255.255.0,192.168.1.183,09-02-2024,Birmingham,Brocade,admin213@service.net,Pending,Low,Outage,Security audit
1052,NE_X,Hub,2.1,5.0.1,Type_I,192.168.1.104,255.255.255.0,192.168.1.4,04-05-2024,Hialeah,ZTE,contact104@company.com,Inactive,Medium,Operational,Server hardening
1053,NE_T,Hub,5,5.8.4,Type_X,192.168.1.86,255.255.255.0,192.168.1.92,05-10-2024,Las Vegas,SonicWall,team443@company.com,Active,Medium,Outage,Incident resolution
1054,NE_K,Switch,2.1,6.3.1,Type_U,192.168.1.40,255.255.255.0,192.168.1.75,28-09-2024,Atlanta,Palo Alto Networks,team256@service.net,Active,High,Maintenance,Web service configuration
1055,NE_Y,Firewall,4.5,6.7.6,Type_Z,192.168.1.231,255.255.255.0,192.168.1.234,04-09-2024,St. Petersburg,Infoblox,admin198@service.net,Decommissioned,High,Outage,Network segmentation
1056,NE_A,Firewall,5,8.9.5,Type_C,192.168.1.123,255.255.255.0,192.168.1.211,15-01-2024,Durham,Check Point,team470@network.com,Active,Medium,Maintenance,Site inspection
1057,NE_Z,Gateway,2.1,6.1.1,Type_C,192.168.1.191,255.255.255.0,192.168.1.122,17-09-2024,Henderson,SolarWinds,contact243@network.com,Active,Medium,Outage,DNS configuration
1058,NE_R,Hub,4.5,5.5.3,Type_B,192.168.1.246,255.255.255.0,192.168.1.147,20-10-2024,Wichita,Nokia,support89@network.com,Suspended,High,Maintenance,Security protocol enhancement
1059,NE_I,Firewall,4.5,5.4.8,Type_D,192.168.1.114,255.255.255.0,192.168.1.63,10-12-2024,Columbus,D-Link,admin162@provider.org,Pending,Medium,Testing,Intrusion detection configuration
1060,NE_A,Gateway,1,9.9.8,Type_X,192.168.1.65,255.255.255.0,192.168.1.29,24-11-2024,Yonkers,Citrix,admin87@provider.org,Inactive,High,Outage,Data validation
1061,NE_E,Hub,1,4.5.4,Type_Q,192.168.1.177,255.255.255.0,192.168.1.19,17-02-2024,Moreno Valley,Oracle,admin291@service.net,Pending,High,Testing,Risk assessment
1062,NE_J,Firewall,2.1,4.0.0,Type_H,192.168.1.87,255.255.255.0,192.168.1.70,19-11-2024,St. Petersburg,AWS,user78@provider.org,Active,Medium,Maintenance,Storage expansion
1063,NE_F,Router,4.5,3.9.5,Type_C,192.168.1.151,255.255.255.0,192.168.1.73,12-08-2024,Tucson,Ruckus Wireless,admin99@company.com,Decommissioned,Medium,Testing,IP address allocation
1064,NE_F,Gateway,2.1,7.6.6,Type_B,192.168.1.186,255.255.255.0,192.168.1.149,06-03-2024,Irvine,AMD,admin261@provider.org,Active,High,Operational,Network segmentation
1065,NE_Y,Switch,1,5.6.7,Type_B,192.168.1.144,255.255.255.0,192.168.1.244,17-12-2024,Anaheim,Ciena,contact303@domain.co,Inactive,Medium,Operational,Virtual machine provisioning
1066,NE_S,Firewall,2.1,5.1.4,Type_U,192.168.1.38,255.255.255.0,192.168.1.193,14-07-2024,Tempe,AWS,admin66@provider.org,Inactive,Medium,Maintenance,VPN setup
1067,NE_J,Switch,2.1,2.6.1,Type_J,192.168.1.236,255.255.255.0,192.168.1.26,06-05-2024,San Jose,CommScope,user290@domain.co,Decommissioned,Medium,Maintenance,Account provisioning
1068,NE_L,Gateway,5,3.1.4,Type_J,192.168.1.58,255.255.255.0,192.168.1.86,21-02-2024,San Diego,SonicWall,admin323@provider.org,Suspended,High,Maintenance,Environment setup
1069,NE_A,Switch,3,7.4.2,Type_P,192.168.1.217,255.255.255.0,192.168.1.254,06-05-2024,Chicago,Ubiquiti,user9@network.com,Inactive,High,Maintenance,Traffic encryption
1070,NE_T,Gateway,4.5,7.7.3,Type_O,192.168.1.25,255.255.255.0,192.168.1.178,05-08-2024,Fort Worth,SonicWall,team33@service.net,Suspended,Low,Operational,Storage expansion
1071,NE_T,Gateway,4.5,2.7.7,Type_U,192.168.1.242,255.255.255.0,192.168.1.27,08-06-2024,Grand Rapids,Fortinet,contact459@domain.co,Suspended,High,Operational,Patch deployment
1072,NE_Y,Firewall,4.5,7.4.7,Type_R,192.168.1.11,255.255.255.0,192.168.1.19,10-06-2024,Salt Lake City,IBM,admin379@service.net,Active,Medium,Operational,Traffic routing update
1073,NE_K,Hub,2.1,2.7.0,Type_J,192.168.1.48,255.255.255.0,192.168.1.163,14-06-2024,Reno,Ubiquiti,team28@domain.co,Inactive,Low,Maintenance,Intrusion detection configuration
1074,NE_Z,Switch,5,3.7.0,Type_L,192.168.1.134,255.255.255.0,192.168.1.162,20-09-2024,Dallas,Belkin,admin294@company.com,Inactive,High,Outage,Account provisioning
1075,NE_O,Hub,4.5,7.9.3,Type_P,192.168.1.174,255.255.255.0,192.168.1.243,15-06-2024,Madison,Barracuda,admin142@network.com,Inactive,Low,Outage,Network segmentation
1076,NE_V,Gateway,5,2.5.8,Type_T,192.168.1.143,255.255.255.0,192.168.1.78,23-03-2024,Albuquerque,Huawei,admin401@service.net,Inactive,High,Maintenance,VPN setup
1077,NE_X,Firewall,3,8.9.8,Type_H,192.168.1.201,255.255.255.0,192.168.1.100,29-06-2024,Louisville,Intel,admin387@service.net,Active,Low,Outage,Cluster expansion
1078,NE_T,Switch,3,1.6.3,Type_C,192.168.1.104,255.255.255.0,192.168.1.136,22-03-2024,Irving,SolarWinds,team380@network.com,Inactive,Medium,Operational,Application deployment
1079,NE_P,Switch,4.5,5.2.0,Type_B,192.168.1.108,255.255.255.0,192.168.1.237,03-03-2024,Cleveland,Infoblox,contact247@domain.co,Inactive,High,Outage,Risk assessment
1080,NE_H,Gateway,2.1,7.7.9,Type_S,192.168.1.226,255.255.255.0,192.168.1.167,19-11-2024,Lubbock,Nokia,user112@provider.org,Suspended,Medium,Operational,Access control modification
1081,NE_R,Hub,4.5,1.4.6,Type_S,192.168.1.19,255.255.255.0,192.168.1.252,31-10-2024,Portland,Google Cloud,contact47@network.com,Pending,Medium,Outage,Security patching
1082,NE_R,Switch,4.5,4.5.0,Type_U,192.168.1.47,255.255.255.0,192.168.1.136,24-04-2024,Bangalore,Ericsson,user455@service.net,Suspended,Medium,Maintenance,Storage expansion
1083,NE_J,Switch,2.1,7.1.1,Type_Y,192.168.1.10,255.255.255.0,192.168.1.212,12-11-2024,Durham,Qualcomm,contact60@provider.org,Inactive,Low,Operational,Configuration validation
1084,NE_E,Gateway,3,9.7.1,Type_U,192.168.1.215,255.255.255.0,192.168.1.88,22-03-2024,Bakersfield,ZTE,user276@service.net,Decommissioned,Medium,Outage,Redundancy setup
1085,NE_I,Gateway,2.1,7.3.5,Type_H,192.168.1.178,255.255.255.0,192.168.1.168,30-10-2024,Yonkers,Check Point,support448@domain.co,Inactive,Low,Testing,License renewal
1086,NE_Y,Gateway,2.1,1.5.0,Type_F,192.168.1.33,255.255.255.0,192.168.1.96,23-06-2024,Tempe,Ubiquiti,team217@provider.org,Suspended,Low,Maintenance,Configuration tuning
1087,NE_X,Hub,2.1,4.4.3,Type_T,192.168.1.188,255.255.255.0,192.168.1.228,30-06-2024,Boston,D-Link,support6@company.com,Inactive,Low,Maintenance,IP address allocation
1088,NE_R,Gateway,4.5,5.0.2,Type_F,192.168.1.18,255.255.255.0,192.168.1.174,25-09-2024,North Las Vegas,Apple,support480@company.com,Inactive,High,Maintenance,Policy update
1089,NE_F,Hub,2.1,2.0.5,Type_T,192.168.1.44,255.255.255.0,192.168.1.193,06-10-2024,Birmingham,Riverbed,support150@service.net,Decommissioned,High,Outage,Security audit
1090,NE_X,Switch,5,8.8.3,Type_B,192.168.1.72,255.255.255.0,192.168.1.15,30-09-2024,Jacksonville,Blue Coat,admin313@network.com,Suspended,High,Outage,Account provisioning
1091,NE_U,Hub,2.1,4.6.6,Type_L,192.168.1.41,255.255.255.0,192.168.1.7,26-07-2024,Stockton,Broadcom,admin166@domain.co,Active,High,Testing,Software patching
1092,NE_L,Switch,5,3.0.2,Type_X,192.168.1.98,255.255.255.0,192.168.1.121,26-05-2024,Santa Clarita,Samsung,admin261@company.com,Decommissioned,Low,Outage,Security patching
1093,NE_I,Gateway,5,7.4.3,Type_T,192.168.1.183,255.255.255.0,192.168.1.26,08-05-2024,Minneapolis,Netgear,user490@domain.co,Active,Medium,Maintenance,Hardware installation
1094,NE_D,Switch,4.5,3.0.4,Type_U,192.168.1.183,255.255.255.0,192.168.1.156,07-09-2024,Manhattan,D-Link,team497@domain.co,Decommissioned,Medium,Testing,Device registration
1095,NE_L,Switch,2.1,1.5.3,Type_Y,192.168.1.94,255.255.255.0,192.168.1.102,20-08-2024,Augusta,Fortinet,support342@domain.co,Active,Low,Operational,Device registration
1096,NE_K,Gateway,5,2.8.9,Type_Y,192.168.1.52,255.255.255.0,192.168.1.73,15-04-2024,Chula Vista,Asus,admin262@domain.co,Inactive,Medium,Operational,Network optimization
1097,NE_R,Gateway,2.1,4.3.7,Type_K,192.168.1.37,255.255.255.0,192.168.1.191,23-07-2024,Overland Park,Ciena,user302@service.net,Pending,High,Outage,Redundancy setup
1098,NE_H,Gateway,4.5,3.3.9,Type_O,192.168.1.165,255.255.255.0,192.168.1.190,09-03-2024,Mesa,Huawei,team244@company.com,Pending,Low,Testing,DNS configuration
1099,NE_F,Router,5,1.2.8,Type_Y,192.168.1.47,255.255.255.0,192.168.1.243,04-02-2024,Greensboro,Samsung,admin24@network.com,Suspended,Medium,Maintenance,Load test completion
1100,NE_T,Hub,2.1,7.6.0,Type_W,192.168.1.233,255.255.255.0,192.168.1.164,19-10-2024,New Orleans,A10 Networks,admin84@service.net,Inactive,Low,Operational,Resource allocation
1101,NE_W,Router,3,9.4.0,Type_U,192.168.1.30,255.255.255.0,192.168.1.96,20-03-2024,Glendale,Ciena,support438@domain.co,Suspended,High,Testing,Connectivity testing
1102,NE_U,Hub,1,3.2.4,Type_C,192.168.1.128,255.255.255.0,192.168.1.211,17-01-2024,Austin,AMD,team267@provider.org,Pending,Low,Maintenance,Scheduled maintenance
1103,NE_T,Gateway,2.1,8.2.3,Type_I,192.168.1.80,255.255.255.0,192.168.1.144,10-01-2024,Fontana,D-Link,team496@domain.co,Inactive,High,Testing,Policy update
1104,NE_U,Router,3,3.3.6,Type_A,192.168.1.110,255.255.255.0,192.168.1.227,30-09-2024,Washington,Netgear,admin250@service.net,Pending,Low,Maintenance,Service activation
1105,NE_D,Gateway,2.1,5.4.2,Type_D,192.168.1.123,255.255.255.0,192.168.1.159,01-12-2024,Tallahassee,Alcatel-Lucent,team164@domain.co,Suspended,Medium,Maintenance,System upgrade
1106,NE_M,Firewall,5,9.0.8,Type_D,192.168.1.74,255.255.255.0,192.168.1.107,21-01-2024,Plano,Arista,admin269@service.net,Suspended,Low,Operational,Firmware update
1107,NE_L,Router,2.1,9.3.0,Type_B,192.168.1.114,255.255.255.0,192.168.1.185,07-05-2024,Greensboro,Brocade,support341@service.net,Active,Medium,Operational,System upgrade
1108,NE_J,Switch,2.1,8.9.2,Type_W,192.168.1.84,255.255.255.0,192.168.1.119,22-01-2024,Oakland,Dell,support194@service.net,Pending,High,Maintenance,Compliance check
1109,NE_E,Router,5,7.1.2,Type_G,192.168.1.238,255.255.255.0,192.168.1.163,19-04-2024,Colorado Springs,Apple,support19@service.net,Suspended,Medium,Outage,Redundancy setup
1110,NE_R,Gateway,1,5.5.9,Type_V,192.168.1.163,255.255.255.0,192.168.1.221,19-06-2024,Santa Clarita,SonicWall,contact410@network.com,Pending,Low,Maintenance,Scheduled maintenance
1111,NE_C,Switch,5,4.3.7,Type_B,192.168.1.1,255.255.255.0,192.168.1.120,08-09-2024,Laredo,Oracle,admin367@provider.org,Suspended,Medium,Outage,Initial configuration
1112,NE_N,Switch,5,8.4.5,Type_Z,192.168.1.91,255.255.255.0,192.168.1.63,27-10-2024,Albuquerque,Samsung,admin439@provider.org,Suspended,High,Testing,Software upgrade
1113,NE_P,Switch,4.5,3.3.4,Type_S,192.168.1.102,255.255.255.0,192.168.1.18,20-09-2024,Anaheim,Sophos,support93@domain.co,Decommissioned,Low,Outage,Configuration validation
1114,NE_F,Hub,5,4.3.0,Type_S,192.168.1.129,255.255.255.0,192.168.1.113,03-06-2024,Saint Paul,Dell,admin418@network.com,Active,High,Maintenance,DNS configuration
1115,NE_V,Gateway,2.1,5.9.9,Type_H,192.168.1.167,255.255.255.0,192.168.1.82,04-10-2024,Houston,Ubiquiti,team288@provider.org,Inactive,High,Outage,Performance tuning
1116,NE_M,Switch,5,5.6.2,Type_P,192.168.1.84,255.255.255.0,192.168.1.233,14-05-2024,Irvine,Citrix,contact471@company.com,Decommissioned,High,Maintenance,Database restoration
1117,NE_B,Gateway,5,2.1.9,Type_V,192.168.1.248,255.255.255.0,192.168.1.173,21-10-2024,San Francisco,Ericsson,admin217@company.com,Pending,Low,Outage,Policy update
1118,NE_B,Hub,1,6.3.8,Type_W,192.168.1.93,255.255.255.0,192.168.1.161,28-04-2024,Tempe,Ericsson,user297@network.com,Pending,Low,Outage,System reboot
1119,NE_L,Firewall,2.1,4.2.4,Type_Z,192.168.1.187,255.255.255.0,192.168.1.84,28-02-2024,San Bernardino,VMware,team24@company.com,Inactive,High,Maintenance,Account provisioning
1120,NE_H,Switch,5,1.6.7,Type_S,192.168.1.52,255.255.255.0,192.168.1.207,29-02-2024,San Francisco,Xiaomi,contact387@network.com,Suspended,Low,Testing,Load balancing configuration
1121,NE_W,Switch,2.1,8.5.3,Type_N,192.168.1.175,255.255.255.0,192.168.1.83,23-06-2024,Austin,IBM,team187@domain.co,Decommissioned,High,Testing,Database restoration
1122,NE_O,Firewall,5,4.6.1,Type_O,192.168.1.231,255.255.255.0,192.168.1.163,23-04-2024,Garland,Ubiquiti,support117@service.net,Decommissioned,Low,Testing,Security protocol enhancement
1123,NE_H,Gateway,2.1,4.2.3,Type_Y,192.168.1.75,255.255.255.0,192.168.1.170,08-11-2024,Plano,D-Link,support444@company.com,Inactive,Low,Maintenance,Site inspection
1124,NE_T,Gateway,3,7.6.9,Type_N,192.168.1.25,255.255.255.0,192.168.1.89,26-01-2024,Norfolk,Nokia,support460@network.com,Inactive,Medium,Maintenance,Software upgrade
1125,NE_V,Hub,5,3.6.6,Type_N,192.168.1.202,255.255.255.0,192.168.1.191,01-06-2024,Lubbock,Oracle,user357@service.net,Suspended,High,Operational,User access setup
1126,NE_V,Hub,1,4.4.3,Type_D,192.168.1.182,255.255.255.0,192.168.1.197,22-01-2024,Tallahassee,Xiaomi,user81@domain.co,Active,Low,Maintenance,License renewal
1127,NE_D,Gateway,5,8.2.1,Type_J,192.168.1.104,255.255.255.0,192.168.1.4,27-05-2024,Kansas City,MicroTik,support270@domain.co,Decommissioned,Low,Operational,Incident resolution
1128,NE_V,Switch,1,6.6.5,Type_B,192.168.1.134,255.255.255.0,192.168.1.176,26-08-2024,Huntsville,Asus,team425@company.com,Suspended,High,Operational,System upgrade
1129,NE_X,Firewall,5,1.1.3,Type_M,192.168.1.202,255.255.255.0,192.168.1.204,23-10-2024,Miami,CommScope,team188@service.net,Active,Low,Operational,Software patching
1130,NE_V,Firewall,3,5.4.6,Type_G,192.168.1.51,255.255.255.0,192.168.1.22,04-03-2024,Garland,Cisco,team343@company.com,Inactive,Medium,Testing,Bandwidth adjustment
1131,NE_N,Gateway,2.1,4.6.6,Type_M,192.168.1.27,255.255.255.0,192.168.1.100,13-04-2024,Amarillo,ZTE,user499@provider.org,Decommissioned,Medium,Maintenance,Device calibration
1132,NE_S,Switch,2.1,6.2.5,Type_Z,192.168.1.250,255.255.255.0,192.168.1.55,28-11-2024,Tempe,Xiaomi,support183@network.com,Pending,Low,Operational,Policy enforcement
1133,NE_P,Gateway,4.5,7.9.8,Type_E,192.168.1.14,255.255.255.0,192.168.1.228,06-03-2024,Chesapeake,Check Point,contact287@provider.org,Pending,High,Maintenance,Database indexing
1134,NE_Q,Gateway,4.5,5.7.1,Type_P,192.168.1.233,255.255.255.0,192.168.1.52,15-12-2024,Albuquerque,Blue Coat,support78@service.net,Suspended,Medium,Testing,License renewal
1135,NE_K,Switch,4.5,6.8.4,Type_T,192.168.1.116,255.255.255.0,192.168.1.31,18-01-2024,Spokane,IBM,support269@company.com,Suspended,High,Maintenance,Initial configuration
1136,NE_G,Gateway,2.1,7.4.5,Type_W,192.168.1.7,255.255.255.0,192.168.1.149,04-03-2024,Laredo,Samsung,contact181@service.net,Pending,Low,Operational,VPN setup
1137,NE_V,Gateway,3,4.7.6,Type_J,192.168.1.168,255.255.255.0,192.168.1.113,07-11-2024,Atlanta,Samsung,user384@company.com,Inactive,Medium,Operational,User authentication setup
1138,NE_Z,Switch,5,3.6.7,Type_K,192.168.1.184,255.255.255.0,192.168.1.195,22-07-2024,San Jose,Fortinet,contact34@company.com,Decommissioned,Low,Outage,Firewall rule update
1139,NE_B,Gateway,4.5,7.1.3,Type_L,192.168.1.190,255.255.255.0,192.168.1.52,08-01-2024,Bakersfield,Dell,team94@network.com,Active,High,Outage,Patch deployment
1140,NE_Z,Gateway,5,2.8.9,Type_E,192.168.1.32,255.255.255.0,192.168.1.206,02-09-2024,Long Beach,Palo Alto Networks,admin295@company.com,Inactive,Low,Testing,Load balancing configuration
1141,NE_O,Firewall,5,1.7.3,Type_G,192.168.1.233,255.255.255.0,192.168.1.160,08-08-2024,Cape Coral,Apple,contact477@company.com,Pending,Medium,Operational,Configuration validation
1142,NE_Q,Router,4.5,3.3.7,Type_M,192.168.1.79,255.255.255.0,192.168.1.69,26-07-2024,Garland,HP Enterprise,user238@service.net,Inactive,Low,Testing,Policy update
1143,NE_N,Firewall,2.1,7.6.9,Type_K,192.168.1.232,255.255.255.0,192.168.1.85,14-05-2024,Oxnard,HP Enterprise,support493@provider.org,Pending,Medium,Maintenance,Server hardening
